date,butter_yoy_pct,dairy_ppi_yoy_pct,margin_gap,margin_expansion_flag
2021-01-01,-1.9323671497584627,-1.526032315978454,-0.4063348337800088,False
2021-02-01,-2.512212142358705,-1.787310098302053,-0.7249020440566523,False
2021-03-01,0.9810791871058155,-0.2692998204667951,1.2503790075726107,False
2021-04-01,2.807017543859658,2.007299270072993,0.7997182737866648,False
2021-05-01,3.5839775122979534,3.9777983348751267,-0.3938208225771733,False
2021-06-01,6.200997861724877,4.792626728110605,1.4083711336142724,False
2021-07-01,5.978647686832739,5.022831050228316,0.955816636604423,False
2021-08-01,6.019830028328621,4.909090909090907,1.1107391192377136,False
2021-09-01,4.486251808972508,5.244122965641962,-0.757871156669454,False
2021-10-01,5.478451424397379,7.046070460704601,-1.5676190363072218,False
2021-11-01,12.312097351467433,10.859728506787336,1.4523688446800964,False
2021-12-01,16.955266955266946,13.236627379873077,3.718639575393869,False
2022-01-01,18.78958479943702,18.41385597082954,0.37572882860747825,False
2022-02-01,20.40085898353614,20.564149226569594,-0.16329024303345463,False
2022-03-01,17.626648160999302,21.692169216921698,-4.065521055922396,False
2022-04-01,31.262798634812295,24.865831842576025,6.39696679223627,True
2022-05-01,43.01221166892808,27.846975088967962,15.16523657996012,True
2022-06-01,45.97315436241611,30.87071240105541,15.1024419613607,True
2022-07-01,47.88448623237072,33.913043478260875,13.971442754109844,True
2022-08-01,48.96459585838344,35.61525129982668,13.349344558556758,True
2022-09-01,55.60941828254846,36.25429553264603,19.355122749902428,True
2022-10-01,55.263157894736835,34.85232067510549,20.410837219631347,True
2022-11-01,42.25621414913956,31.0204081632653,11.235805985874258,True
2022-12-01,39.60518198642815,26.5012009607686,13.10398102565955,True
2023-01-01,26.184834123222743,19.245573518090843,6.939260605131899,True
2023-02-01,8.501783590963141,12.37735849056605,-3.875574899602908,False
2023-03-01,0.1769911504424737,8.579881656804744,-8.40289050636227,False
2023-04-01,-14.872594903796166,4.226361031518633,-19.098955935314798,False
2023-05-01,-23.38709677419355,0.5567153792623625,-23.943812153455916,False
2023-06-01,-26.436781609195403,-3.830645161290336,-22.60613644790507,False
2023-07-01,-26.475930971843773,-8.18181818181818,-18.294112790025594,False
2023-08-01,-28.968609865470853,-10.351437699680499,-18.617172165790354,False
2023-09-01,-28.971962616822434,-12.105926860025217,-16.866035756797217,False
2023-10-01,-27.564674397859047,-12.703379224030042,-14.861295173829005,False
2023-11-01,-24.91039426523297,-12.211838006230524,-12.698556259002446,False
2023-12-01,-26.204153778170568,-10.506329113924052,-15.697824664246516,False
