period,gap_start,gap_end,butter_start,butter_end,ppi_start,ppi_end
before_vat,55.29999999999998,31.80000000000001,167.2,140.3,111.9,108.5
during_vat,31.0,28.299999999999997,140.5,138.6,109.5,110.3
inflation_2021,32.39999999999999,37.19999999999999,142.1,162.1,109.7,124.9
